;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj
ENSG00000001036;50.17886896;-1.523224772;1.861430993;-0.818308483;0.413181063;NA
ENSG00000001167;121.0044865;0.145092717;0.934888141;0.155197944;0.876665269;0.998874987
ENSG00000001561;84.65512672;7.010725528;3.157735387;2.220175115;0.026406883;0.4176737
ENSG00000002330;49.98634215;1.373914416;1.115555748;1.231596375;0.218099896;NA
ENSG00000002834;153.6513114;4.855990375;2.62199856;1.852018704;0.064023137;0.606295153
ENSG00000002919;138.4705297;-0.27168853;0.653132536;-0.415977638;0.677426367;0.998874987
ENSG00000003056;620.8970374;-1.051654339;0.958365981;-1.097341057;0.272492329;0.984404502
ENSG00000003249;336.5329927;0.425960442;1.953058007;0.218099227;0.8273518;0.998874987
ENSG00000003989;124.539429;4.422520487;3.502370883;1.26272192;0.206689133;0.906063937
ENSG00000004478;1258.14823;1.21471582;1.175739403;1.033150558;0.301533446;0.998092017
ENSG00000004660;151.7009345;0.011139662;2.398127312;0.00464515;0.99629372;0.999585648
ENSG00000004700;65.12662125;-1.678457095;1.299392573;-1.291724402;0.196452604;NA
ENSG00000004776;1639.457214;-0.601830073;4.290902064;-0.140257238;0.888456749;0.998874987
ENSG00000004779;350.96369;-0.579294139;1.298283412;-0.446200062;0.655452738;0.998874987
ENSG00000004848;45.86979081;5.328840693;4.884795164;1.090903613;0.275315297;NA
ENSG00000004897;138.6180879;-0.141356643;1.036009611;-0.136443371;0.89147079;0.998874987
ENSG00000004961;118.9370104;-0.448614262;1.207730279;-0.37145236;0.710300633;0.998874987
ENSG00000004975;559.9857334;-0.772992602;0.807204168;-0.957617208;0.338255818;0.998874987
ENSG00000005001;65.04348538;8.746819848;3.886026926;2.250838714;0.024395755;NA
ENSG00000005007;834.0201204;0.249217676;0.715418069;0.348352504;0.727575468;0.998874987
ENSG00000005100;184.0575929;-1.211602267;1.168640946;-1.03676178;0.299846892;0.998092017
ENSG00000005102;50.7988357;0.398153484;6.841149943;0.058199789;0.953589489;NA
ENSG00000005175;84.36706955;0.419379092;0.966393027;0.433963284;0.664315103;0.998874987
ENSG00000005189;131.9838385;-0.537129097;2.998702948;-0.179120475;0.857843105;0.998874987
ENSG00000005206;205.9175744;0.248701748;1.117279073;0.222595906;0.823850023;0.998874987
ENSG00000005243;184.9736556;-7.267138012;2.973992129;-2.443563297;0.014543018;0.308273274
ENSG00000005339;1541.651864;0.818472189;0.855725558;0.956465752;0.338836979;0.998874987
ENSG00000005379;535.0217101;7.701892872;3.427210119;2.2472777;0.024622285;0.404254856
ENSG00000005381;47.35136287;0.398156975;5.409991418;0.0735966;0.941331377;NA
ENSG00000005513;182.4257417;3.720051078;3.895139821;0.955049433;0.339552699;0.998874987
ENSG00000005893;81.32024548;-1.82912626;1.555697108;-1.17575989;0.239690839;0.95071917
ENSG00000006007;465.6038559;-0.123157151;0.919597421;-0.133925072;0.893461824;0.998874987
ENSG00000006015;70.98333315;-0.293714656;1.264483911;-0.232280264;0.81632034;NA
ENSG00000006016;211.2231051;4.205490452;3.025609575;1.389964682;0.164539602;0.880272471
ENSG00000006025;137.6727797;-0.083988739;1.868283451;-0.04495503;0.964143153;0.998874987
ENSG00000006042;39.70632721;-7.36641461;2.829507575;-2.603426361;0.009229709;NA
ENSG00000006047;179.7542985;9.050208667;4.996300561;1.811381953;0.070081748;0.627459434
ENSG00000006062;217.1390267;-0.752616034;1.700388862;-0.442614069;0.658044906;0.998874987
ENSG00000006071;517.4585816;7.425692192;4.840952441;1.533932069;0.125046366;0.794044422
ENSG00000006074;40.38436375;0.398150649;7.81310705;0.050959323;0.959357934;NA
ENSG00000006116;112.4053285;0.398152041;7.352052019;0.054155226;0.956811493;0.998874987
ENSG00000006118;1328.136415;1.911134536;2.207008386;0.865938955;0.386523639;0.998874987
ENSG00000006125;1072.048426;0.529673038;1.136500207;0.466056261;0.64117523;0.998874987
ENSG00000006194;277.4627586;0.089410078;0.617301801;0.144840139;0.88483709;0.998874987
