;baseMean;log2FoldChange;lfcSE;pvalue;padj;symbol;entrez
ENSG00000152583;997.4397732;4.563347065;0.185619898;2.22E-136;4.00E-132;SPARCL1;8404
ENSG00000165995;495.0929067;3.280352311;0.133330867;7.84E-135;7.05E-131;CACNB2;783
ENSG00000120129;3409.029375;2.937993514;0.122027771;3.67E-130;2.20E-126;DUSP1;1843
ENSG00000101347;12703.38706;3.753517918;0.157054428;9.58E-130;4.31E-126;SAMHD1;25939
ENSG00000189221;2341.767253;3.342186435;0.143093947;1.10E-123;3.96E-120;MAOA;4128
ENSG00000211445;12285.61515;3.71695197;0.167889677;4.62E-112;1.38E-108;GPX3;2878
ENSG00000157214;3009.263223;1.968289037;0.090184332;5.77E-107;1.48E-103;STEAP2;261729
ENSG00000162614;5393.101683;2.028028282;0.094467007;1.32E-103;2.98E-100;NEXN;91624
ENSG00000125148;3656.252782;2.203246751;0.106042355;2.90E-97;5.80E-94;MT2A;4502
ENSG00000154734;30315.13547;2.345042747;0.116193844;3.26E-91;5.87E-88;ADAMTS1;9510
ENSG00000139132;1223.466141;2.217248342;0.113232605;7.58E-87;1.24E-83;FGD4;121512
ENSG00000162493;1099.625866;1.882125385;0.095990419;8.77E-87;1.31E-83;PDPN;10630
ENSG00000134243;5510.958256;2.182613318;0.112591686;1.45E-85;2.01E-82;SORT1;6272
ENSG00000179094;776.5966655;3.174622703;0.165326523;2.12E-84;2.73E-81;PER1;5187
ENSG00000162692;508.1702324;-3.673843637;0.19202691;5.64E-84;6.77E-81;VCAM1;7412
ENSG00000163884;561.1071661;4.433642888;0.237481067;2.23E-80;2.50E-77;KLF15;28999
ENSG00000178695;2649.850149;-2.511941145;0.135441105;6.67E-79;7.06E-76;KCTD12;115207
ENSG00000198624;2057.191731;2.900506145;0.163134733;3.58E-73;3.58E-70;CCDC69;26112
ENSG00000107562;25136.30757;-1.899759824;0.106126875;4.79E-73;4.53E-70;CXCL12;6387
ENSG00000148848;1365.173986;-1.80408541;0.100830666;6.81E-73;6.13E-70;ADAM12;8038
ENSG00000146250;313.6899778;-2.739277222;0.15532012;7.72E-71;6.62E-68;PRSS35;167681
ENSG00000106976;884.745883;-1.745412545;0.099970726;1.93E-69;1.58E-66;DNM1;1759
ENSG00000154930;670.0467035;1.886582223;0.109012517;2.48E-68;1.94E-65;ACSS1;84532
ENSG00000163394;1216.602065;-2.173690017;0.125970405;3.54E-68;2.65E-65;CCKAR;886
ENSG00000253368;1040.17649;1.973235552;0.114939105;1.27E-67;9.15E-65;TRNP1;388610
ENSG00000163661;8565.701164;2.244639783;0.131836048;6.38E-67;4.42E-64;PTX3;5806
ENSG00000162616;1467.635827;1.509981031;0.088186116;7.75E-67;5.16E-64;DNAJB4;11080
ENSG00000148175;11193.71877;1.443683227;0.084608253;4.71E-66;3.02E-63;STOM;2040
ENSG00000124766;1281.468658;-2.394846049;0.141990656;8.88E-66;5.51E-63;SOX4;6659
ENSG00000197381;1969.048356;2.309983857;0.136774382;1.54E-65;9.26E-63;ADARB1;104
ENSG00000172403;8014.781651;1.732052546;0.103794587;5.55E-64;3.22E-61;SYNPO2;171024
ENSG00000116285;3232.635437;2.407809993;0.145655799;2.26E-63;1.27E-60;ERRFI1;54206
ENSG00000163083;418.9214766;3.424725245;0.210836287;2.54E-61;1.39E-58;INHBB;3625
ENSG00000166741;7432.936352;2.171402508;0.135653863;1.70E-59;8.97E-57;NNMT;4837
ENSG00000070404;2128.114025;1.802697835;0.113973523;1.03E-57;5.31E-55;FSTL3;10272
ENSG00000105989;333.2146882;-3.017606619;0.192196754;6.87E-57;3.43E-54;WNT2;7472
ENSG00000122035;943.3405742;2.271753053;0.14588174;3.15E-56;1.53E-53;RASL11A;387496
ENSG00000119139;5029.851421;1.912728688;0.123125685;4.86E-56;2.30E-53;TJP2;9414
ENSG00000136478;3701.528598;1.455399978;0.093514018;8.26E-56;3.81E-53;TEX2;55852
ENSG00000196569;17178.42604;2.01328089;0.133921584;7.36E-53;3.31E-50;LAMA2;3908
ENSG00000108821;100990.6944;-1.298015118;0.085747235;1.27E-52;5.58E-50;COL1A1;1277
ENSG00000221866;847.493946;2.721960172;0.183999098;8.98E-52;3.85E-49;PLXNA4;91584
ENSG00000100242;2236.238321;1.844246812;0.123778363;1.20E-51;5.03E-49;SUN2;25777
ENSG00000145685;2018.163688;-1.231308171;0.082256017;1.32E-51;5.39E-49;LHFPL2;10184
ENSG00000134686;2737.981986;1.376322565;0.092204541;1.41E-51;5.63E-49;PHC2;1912
ENSG00000172986;756.3668291;-1.558257604;0.104658741;2.07E-51;8.09E-49;GXYLT2;727936
ENSG00000102804;5397.336845;1.19257773;0.080109794;3.65E-51;1.40E-48;TSC22D1;8848
ENSG00000060718;363.762294;2.406329298;0.16285921;6.35E-51;2.38E-48;COL11A1;1301
ENSG00000099337;530.060485;2.695064357;0.183095358;7.90E-51;2.90E-48;KCNK6;9424
